Login ID,Repo Count,Follower Count,Member Since
dumpytown,2.0,11.0,20120504.0
casjba,53.0,853.0,20120922.0
2rbyo4bbor,10.0,8.0,20121010.0
nrmjnmabibowen,130.0,43.0,20121011.0
mountain,67.0,262.0,20080225.0
2ncijk20,1.0,20.0,20140332.0
ZenCocoon,73.0,36.0,20080516.0
wouterdebres,3.0,6.0,20080519.0
henrygarner,109.0,82.0,20080914.0
shanx,80.0,32.0,20081006.0
andreypopp,444.0,865.0,20081023.0
uxuraitvmeaha,127.0,96.0,20081205.0
stonegao,140.0,292.0,20081222.0
bobpoekert,97.0,85.0,20090110.0
ticean,62.0,75.0,20090115.0
karsthammer,49.0,13.0,20090323.0
kirillsalykin,23.0,13.0,20091007.0
bcambel,74.0,113.0,20091025.0
adsvidlef,3.0,13.0,20091201.0
alexanderdean,6.0,204.0,20100209.0
oktraurmkp,143.0,21.0,20100218.0
pereferrera,19.0,47.0,20100427.0
RaymondCrandall,31.0,79.0,20100505.0
vizanto,55.0,60.0,20100708.0
gijzelaerr,167.0,154.0,20100708.0
hgtnsnaa-,54.0,24.0,20100713.0
domenicosolazzo,426.0,206.0,20100903.0
igjdechnlmeoib,402.0,282.0,20100920.0
isakib,244.0,7.0,20101111.0
rickbeerendonk,74.0,81.0,20101112.0
musnclmeh,106.0,83.0,20101116.0
andresmasegosa,12.0,70.0,20101125.0
jkakar,66.0,76.0,20110113.0
rbeene,93.0,40.0,20090402.0
pechorin,14.0,77.0,20100319.0
grgkede,50.0,96.0,20100425.0
forresto,108.0,192.0,20100911.0
specious,40.0,151.0,20101023.0
MattMcFarland,139.0,243.0,20110217.0
mrklaw,2.0,1.0,20111114.0
mohitmun,86.0,75.0,20120325.0
kialam,31.0,5.0,20120906.0
sajcba,53.0,853.0,20120922.0
svupczs,159.0,7743.0,20130215.0
yikaraman,34.0,5.0,20130918.0
wMilhzPzicceaskai,66.0,5384.0,20140213.0
orrasdiinegr,10.0,4.0,20140717.0
bitsondatadev,28.0,413.0,20140825.0
dalinnen,1.0,5.0,20141104.0
ypersyntelykos,61.0,669.0,20141218.0
jbelsky,28.0,6.0,20150129.0
y-ke,7.0,11.0,20151024.0
chrisketchel,0.0,1.0,20151216.0
zhanknight,12.0,2.0,20160716.0
dehine,10.0,1.0,20170116.0
seabre,105.0,71.0,20081222.0
biomunky,51.0,22.0,20090326.0
carld,130.0,120.0,20090714.0
catull,33.0,34.0,20091107.0
sidorares,163.0,788.0,20091228.0
tdaelm,38.0,33.0,20100131.0
radka,55.0,138.0,20100208.0
honnung,2.0,1.0,20110222.0
osteotek,23.0,22.0,20110304.0
nwevi,8.0,1398.0,20110611.0
janfilips,14.0,47.0,20110623.0
hemantasapkota,46.0,108.0,20110705.0
rcullito,67.0,43.0,20110712.0
yenda,70.0,49.0,20111108.0
fiaeslqucl,64.0,80.0,20111126.0
kumavis,436.0,1167.0,20120226.0
zhchang,20.0,18.0,20120312.0
nabn,27.0,37.0,20120430.0
r1n4a2i0,158.0,281.0,20120526.0
viralpandya,14.0,15.0,20120726.0
bbss,45.0,35.0,20121109.0
priornix,9.0,21.0,20130225.0
